Date,Open,High,Low,Close,Volume,Market Cap
10-Apr-17,43.28 ,44.14 ,42.42 ,43.44 ,44061500 ,3919520000 
11-Apr-17,43.50 ,44.25 ,43.30 ,43.41 ,38303300 ,3941100000 
12-Apr-17,43.46 ,47.23 ,43.11 ,46.29 ,88045700 ,3938930000 
13-Apr-17,46.31 ,50.91 ,46.31 ,50.22 ,157200000 ,4198420000 
14-Apr-17,49.97 ,50.05 ,46.76 ,47.57 ,91674400 ,4531810000 
15-Apr-17,47.65 ,49.57 ,47.18 ,49.10 ,66207800 ,4323100000 
16-Apr-17,49.04 ,49.14 ,48.19 ,48.72 ,31343800 ,4450140000 
17-Apr-17,48.66 ,48.75 ,48.05 ,48.30 ,44013300 ,4417310000 
18-Apr-17,48.32 ,51.03 ,48.30 ,50.71 ,78748500 ,4387860000 
19-Apr-17,50.73 ,50.95 ,47.26 ,48.31 ,76281000 ,4608260000 
20-Apr-17,48.13 ,49.99 ,48.13 ,49.67 ,79600900 ,4373800000 
21-Apr-17,49.64 ,49.66 ,48.14 ,48.22 ,45048300 ,4512610000 
22-Apr-17,48.18 ,48.74 ,48.17 ,48.55 ,37357600 ,4381290000 
23-Apr-17,48.59 ,48.89 ,48.17 ,48.49 ,36234000 ,4420040000 
24-Apr-17,48.87 ,50.18 ,48.87 ,50.03 ,55580600 ,4446470000 
25-Apr-17,50.07 ,50.30 ,49.81 ,49.89 ,38264600 ,4557870000 
26-Apr-17,49.91 ,53.44 ,49.91 ,52.72 ,104884000 ,4544370000 
27-Apr-17,52.81 ,62.17 ,52.29 ,62.17 ,246775000 ,4809630000 
28-Apr-17,62.23 ,70.85 ,62.13 ,70.16 ,346546000 ,5669550000 
29-Apr-17,71.39 ,71.90 ,66.78 ,68.38 ,165448000 ,6506490000 
30-Apr-17,68.54 ,79.02 ,68.35 ,79.02 ,229945000 ,6248840000 
01-May-17,79.32 ,82.52 ,73.09 ,76.30 ,376842000 ,7234070000 
02-May-17,76.65 ,79.35 ,74.38 ,77.26 ,193773000 ,6992980000 
03-May-17,77.25 ,80.10 ,75.76 ,79.72 ,141922000 ,7050050000 
04-May-17,79.72 ,97.56 ,79.43 ,96.98 ,366847000 ,7277480000 
05-May-17,96.73 ,103.23 ,92.22 ,94.40 ,331928000 ,8833520000 
06-May-17,94.91 ,97.88 ,90.95 ,97.81 ,151462000 ,8669910000 
07-May-17,97.87 ,98.24 ,89.87 ,94.01 ,183295000 ,8942950000 
08-May-17,93.75 ,95.14 ,89.51 ,91.42 ,231344000 ,8569060000 
09-May-17,91.23 ,93.06 ,80.39 ,91.16 ,363434000 ,8341490000 
10-May-17,91.15 ,92.85 ,85.29 ,89.52 ,145602000 ,8337180000 
11-May-17,89.77 ,102.55 ,88.48 ,89.88 ,132722000 ,8213570000 
12-May-17,89.43 ,93.12 ,88.66 ,88.66 ,145825000 ,8184930000 
13-May-17,88.69 ,93.81 ,86.66 ,90.84 ,88742200 ,8120390000 
14-May-17,90.87 ,91.25 ,89.61 ,90.79 ,66046600 ,8322380000 
15-May-17,90.78 ,95.43 ,86.83 ,92.41 ,170999000 ,8316930000 
16-May-17,92.39 ,93.56 ,89.12 ,89.44 ,152285000 ,8466470000 
17-May-17,89.25 ,91.27 ,84.43 ,89.86 ,183031000 ,8181520000 
18-May-17,89.84 ,97.37 ,89.84 ,96.91 ,196237000 ,8238110000 
19-May-17,97.05 ,133.56 ,97.05 ,129.53 ,626945000 ,8902240000 
20-May-17,129.22 ,133.64 ,124.70 ,126.52 ,331455000 ,11856600000 
21-May-17,127.54 ,159.03 ,125.89 ,157.94 ,570361000 ,11705700000 
22-May-17,158.17 ,201.75 ,152.47 ,174.26 ,1188910000 ,14522100000 
23-May-17,170.82 ,183.55 ,169.93 ,181.95 ,530709000 ,15688000000 
24-May-17,182.65 ,228.37 ,182.45 ,190.05 ,561014000 ,16779700000 
25-May-17,189.85 ,210.98 ,170.51 ,174.45 ,943637000 ,17446600000 
26-May-17,175.22 ,193.69 ,150.28 ,160.40 ,792458000 ,16107000000 
27-May-17,159.82 ,166.95 ,120.44 ,157.76 ,1217060000 ,14696000000 
28-May-17,158.82 ,179.94 ,157.60 ,170.51 ,717971000 ,14608600000 
29-May-17,170.14 ,197.13 ,164.53 ,194.91 ,718828000 ,15654600000 
30-May-17,195.61 ,233.71 ,189.29 ,231.91 ,1586670000 ,18004700000 
31-May-17,231.58 ,236.97 ,215.57 ,230.67 ,1271600000 ,21321900000 
01-Jun-17,230.89 ,236.22 ,214.48 ,222.24 ,812924000 ,21264800000 
02-Jun-17,222.29 ,229.41 ,219.58 ,223.78 ,469532000 ,20479000000 
03-Jun-17,223.46 ,225.97 ,219.42 ,224.38 ,427896000 ,20593500000 
04-Jun-17,224.12 ,250.41 ,223.98 ,245.33 ,753820000 ,20659800000 
05-Jun-17,245.26 ,249.47 ,243.05 ,248.46 ,435660000 ,22615800000 
06-Jun-17,248.60 ,267.51 ,246.84 ,264.47 ,741553000 ,22930400000 
07-Jun-17,264.26 ,264.67 ,254.04 ,258.07 ,461649000 ,24382200000 
08-Jun-17,257.99 ,262.25 ,253.98 ,261.67 ,385494000 ,23810900000 
09-Jun-17,261.75 ,282.76 ,261.75 ,281.74 ,557986000 ,24165000000 
10-Jun-17,282.01 ,350.26 ,282.01 ,337.67 ,1611630000 ,26043700000 
11-Jun-17,338.79 ,353.01 ,318.17 ,340.61 ,1373220000 ,31296800000 
12-Jun-17,341.16 ,414.76 ,341.16 ,401.49 ,2882650000 ,31525300000 
13-Jun-17,395.69 ,411.18 ,370.06 ,397.54 ,1717380000 ,36574500000 
14-Jun-17,397.59 ,399.32 ,342.22 ,359.05 ,1272580000 ,36761600000 
15-Jun-17,358.51 ,364.44 ,300.70 ,361.93 ,2463450000 ,33158200000 
16-Jun-17,361.18 ,373.06 ,341.42 ,370.23 ,1096280000 ,33415800000 
17-Jun-17,369.88 ,379.41 ,364.00 ,379.41 ,904653000 ,34231300000 
18-Jun-17,379.52 ,390.58 ,368.84 ,371.46 ,904703000 ,35133800000 
19-Jun-17,371.86 ,377.12 ,369.76 ,370.06 ,685172000 ,34435700000 
20-Jun-17,370.33 ,377.97 ,350.94 ,359.01 ,1020390000 ,34304000000 
21-Jun-17,359.54 ,361.34 ,319.48 ,336.87 ,1420130000 ,33310500000 
22-Jun-17,337.73 ,342.03 ,330.62 ,336.37 ,925767000 ,31302600000 
23-Jun-17,336.49 ,348.01 ,334.99 ,341.74 ,593207000 ,31195900000 
24-Jun-17,341.63 ,343.62 ,322.09 ,323.70 ,673585000 ,31681300000 
25-Jun-17,323.47 ,332.79 ,284.65 ,303.25 ,1186880000 ,30005900000 
26-Jun-17,302.96 ,311.46 ,238.65 ,272.69 ,2081810000 ,28111200000 
27-Jun-17,272.69 ,293.09 ,227.14 ,293.09 ,1973870000 ,25309700000 
28-Jun-17,293.04 ,333.10 ,276.41 ,327.93 ,2056550000 ,27207000000 
29-Jun-17,328.37 ,330.71 ,297.37 ,302.88 ,1508580000 ,30495300000 
30-Jun-17,303.15 ,315.17 ,288.44 ,294.92 ,1011800000 ,28161900000 
01-Jul-17,293.35 ,293.75 ,268.62 ,274.60 ,1089200000 ,27259400000 
02-Jul-17,275.12 ,295.51 ,262.52 ,287.99 ,1123330000 ,25572800000 
03-Jul-17,288.41 ,291.10 ,281.18 ,282.90 ,851408000 ,26815900000 
04-Jul-17,282.19 ,287.39 ,273.11 ,273.30 ,687691000 ,26245000000 
05-Jul-17,273.10 ,275.13 ,261.45 ,268.77 ,790256000 ,25406900000 
06-Jul-17,268.86 ,278.48 ,265.51 ,270.55 ,623080000 ,25019500000 
07-Jul-17,270.35 ,273.94 ,244.17 ,245.99 ,687252000 ,25160800000 
08-Jul-17,245.89 ,273.48 ,236.55 ,251.70 ,754958000 ,22890700000 
09-Jul-17,251.82 ,255.11 ,242.14 ,242.14 ,505118000 ,23454700000 
10-Jul-17,243.01 ,243.07 ,196.97 ,215.36 ,937219000 ,22640500000 
11-Jul-17,211.53 ,220.29 ,183.39 ,197.40 ,1440950000 ,19712300000 
12-Jul-17,197.15 ,230.77 ,189.59 ,230.77 ,1241190000 ,18377600000 
13-Jul-17,231.81 ,231.81 ,200.07 ,209.73 ,828489000 ,21613900000 
14-Jul-17,209.53 ,211.10 ,187.37 ,199.66 ,749382000 ,19541300000 
15-Jul-17,199.71 ,200.16 ,170.66 ,170.66 ,810452000 ,18630200000 
16-Jul-17,169.57 ,172.01 ,133.72 ,157.36 ,1516890000 ,15823100000 
17-Jul-17,159.99 ,194.75 ,158.04 ,193.42 ,1669500000 ,14932700000 
18-Jul-17,195.03 ,267.99 ,182.06 ,234.39 ,2709260000 ,18207400000 
19-Jul-17,234.94 ,245.65 ,191.75 ,199.70 ,2328790000 ,21939300000 
20-Jul-17,205.42 ,233.90 ,203.22 ,227.27 ,2225000000 ,19187800000 
21-Jul-17,226.06 ,235.12 ,213.01 ,218.31 ,1006130000 ,21121100000 
22-Jul-17,217.86 ,232.70 ,216.87 ,229.48 ,618260000 ,20360100000 
23-Jul-17,229.12 ,231.68 ,217.72 ,225.95 ,649615000 ,21418300000 
24-Jul-17,226.29 ,227.54 ,222.45 ,224.71 ,431691000 ,21158500000 
25-Jul-17,224.37 ,225.32 ,195.85 ,206.71 ,1095760000 ,20985200000 
26-Jul-17,207.09 ,210.77 ,194.78 ,203.95 ,717692000 ,19373400000 
27-Jul-17,204.86 ,206.44 ,201.26 ,204.32 ,393283000 ,19169800000 
28-Jul-17,204.33 ,204.90 ,192.30 ,193.12 ,562571000 ,19125100000 
29-Jul-17,193.34 ,208.68 ,179.65 ,205.79 ,824355000 ,18101800000 
30-Jul-17,206.74 ,208.54 ,196.15 ,197.98 ,596234000 ,19360900000 
31-Jul-17,197.41 ,203.87 ,193.41 ,203.87 ,569414000 ,18492000000 
01-Aug-17,204.69 ,227.74 ,204.69 ,226.77 ,1585330000 ,19179100000 
02-Aug-17,227.01 ,229.51 ,218.12 ,219.95 ,632606000 ,21275200000 
03-Aug-17,220.18 ,228.29 ,219.89 ,225.34 ,557217000 ,20640100000 
04-Aug-17,225.31 ,227.62 ,222.06 ,223.07 ,539783000 ,21125600000 
05-Aug-17,222.85 ,256.51 ,221.95 ,256.51 ,1333000000 ,20900000000 
06-Aug-17,256.42 ,271.05 ,252.85 ,261.57 ,1482980000 ,24053500000 
07-Aug-17,261.24 ,271.96 ,256.69 ,269.18 ,935727000 ,24511000000 
08-Aug-17,269.10 ,298.91 ,266.80 ,296.77 ,1502410000 ,25254600000 
09-Aug-17,297.63 ,318.72 ,276.69 ,296.03 ,2638580000 ,27938700000 
10-Aug-17,296.96 ,306.59 ,289.93 ,295.89 ,1076820000 ,27882200000 
11-Aug-17,294.50 ,309.21 ,294.50 ,308.86 ,953576000 ,27657000000 
12-Aug-17,308.71 ,317.56 ,307.90 ,310.60 ,1111650000 ,28998700000 
13-Aug-17,310.37 ,310.82 ,289.31 ,298.06 ,1369370000 ,29161100000 
14-Aug-17,298.03 ,306.81 ,296.41 ,300.10 ,864391000 ,28008700000 
15-Aug-17,299.95 ,300.41 ,279.33 ,289.82 ,1051800000 ,28195800000 
16-Aug-17,289.82 ,303.41 ,285.39 ,302.27 ,967643000 ,27249700000 
17-Aug-17,302.81 ,311.03 ,300.25 ,301.46 ,909494000 ,28477500000 
18-Aug-17,301.70 ,307.96 ,292.50 ,295.59 ,936160000 ,28380200000 
19-Aug-17,296.18 ,301.67 ,286.18 ,297.47 ,860202000 ,27867900000 
20-Aug-17,296.64 ,301.43 ,291.58 ,301.43 ,571947000 ,27918100000 
21-Aug-17,300.48 ,347.05 ,297.23 ,321.59 ,2448970000 ,28285500000 
22-Aug-17,321.06 ,327.36 ,297.91 ,314.79 ,1336400000 ,30229900000 
23-Aug-17,315.27 ,324.21 ,314.54 ,317.52 ,811990000 ,29691900000 
24-Aug-17,317.45 ,327.96 ,317.08 ,325.61 ,697665000 ,29904600000 
25-Aug-17,326.11 ,336.40 ,325.80 ,331.92 ,760329000 ,30727900000 
26-Aug-17,331.99 ,334.99 ,327.92 ,333.88 ,514181000 ,31288300000 
27-Aug-17,334.36 ,347.89 ,334.36 ,347.89 ,633370000 ,31517500000 
28-Aug-17,350.04 ,352.05 ,338.41 ,347.75 ,854319000 ,33002700000 
29-Aug-17,347.97 ,373.76 ,347.79 ,370.67 ,1220030000 ,32813200000 
30-Aug-17,369.47 ,388.75 ,361.97 ,378.49 ,1333320000 ,34848400000 
31-Aug-17,378.44 ,386.14 ,376.35 ,383.04 ,706254000 ,35701500000 
01-Sep-17,383.47 ,390.04 ,383.47 ,387.74 ,874222000 ,36182900000 
02-Sep-17,387.82 ,389.35 ,328.10 ,348.98 ,1483600000 ,36601200000 
03-Sep-17,350.23 ,366.49 ,332.23 ,347.48 ,986266000 ,33059800000 
04-Sep-17,347.13 ,347.13 ,279.94 ,295.17 ,1801690000 ,32774000000 
05-Sep-17,297.57 ,318.57 ,268.29 ,312.99 ,1551050000 ,28100000000 
06-Sep-17,313.80 ,334.66 ,313.49 ,334.34 ,1058830000 ,29639100000 
07-Sep-17,333.52 ,333.52 ,319.94 ,329.43 ,718624000 ,31507500000 
08-Sep-17,329.64 ,329.64 ,285.16 ,296.50 ,1098780000 ,31147200000 
09-Sep-17,296.17 ,299.89 ,287.22 ,294.41 ,528621000 ,27990500000 
10-Sep-17,294.06 ,294.76 ,268.97 ,288.75 ,698326000 ,27797200000 
11-Sep-17,289.75 ,300.69 ,286.69 ,294.53 ,571307000 ,27394400000 
12-Sep-17,294.63 ,311.20 ,287.23 ,291.46 ,753144000 ,27861800000 
13-Sep-17,291.12 ,291.12 ,260.61 ,277.11 ,921692000 ,27535700000 
14-Sep-17,276.59 ,280.84 ,213.91 ,213.91 ,1184590000 ,26166100000 
15-Sep-17,215.22 ,258.66 ,195.04 ,250.46 ,1935700000 ,20364900000 
16-Sep-17,250.87 ,262.59 ,238.22 ,246.52 ,711737000 ,23742600000 
17-Sep-17,245.85 ,257.00 ,235.24 ,251.75 ,427452000 ,23272500000 
18-Sep-17,252.23 ,293.50 ,252.23 ,293.50 ,1127750000 ,23881200000 
19-Sep-17,293.66 ,295.77 ,274.48 ,282.80 ,646909000 ,27809300000 
20-Sep-17,282.02 ,290.89 ,278.05 ,283.74 ,421404000 ,26712400000 
21-Sep-17,283.26 ,286.61 ,255.02 ,258.58 ,601266000 ,26836000000 
22-Sep-17,258.11 ,270.54 ,256.22 ,264.31 ,430081000 ,24458400000 
23-Sep-17,264.60 ,286.17 ,261.12 ,286.17 ,450934000 ,25077100000 
24-Sep-17,286.21 ,292.95 ,278.13 ,282.48 ,571411000 ,27129900000 
25-Sep-17,282.22 ,293.52 ,281.88 ,292.33 ,483161000 ,26755500000 
26-Sep-17,292.35 ,293.75 ,287.02 ,287.44 ,345801000 ,27720000000 
27-Sep-17,287.02 ,308.02 ,286.82 ,306.47 ,550244000 ,27219400000 
28-Sep-17,306.47 ,307.20 ,295.47 ,299.16 ,501894000 ,29068700000 
29-Sep-17,299.12 ,299.92 ,279.77 ,291.47 ,541375000 ,28375900000 
30-Sep-17,291.48 ,303.96 ,291.11 ,301.47 ,332439000 ,27655200000 
01-Oct-17,301.55 ,303.19 ,295.06 ,302.34 ,306185000 ,28615200000 
02-Oct-17,302.48 ,302.92 ,294.58 ,297.48 ,339443000 ,28708500000 
03-Oct-17,297.48 ,300.11 ,288.13 ,292.46 ,321680000 ,28238500000 
04-Oct-17,292.75 ,299.39 ,290.90 ,292.66 ,257906000 ,27794100000 
05-Oct-17,292.77 ,298.04 ,288.84 ,295.86 ,253747000 ,27800400000 
